file_name,sample_rate_hz,channels,sample_width_bytes,original_total_samples,full_2048_frames_analyzed,analyzed_samples,skipped_final_partial_frame_samples,skipped_partial_start_sample,skipped_partial_end_sample_exclusive,comment
E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,44100,1,2,118815,58,118784,31,118784,118815,Final partial frame (31 samples < 2048) was recorded only and not analyzed.
E01before_tanto-tanto_20141001_02_mono.wav,44100,1,2,80996,39,79872,1124,79872,80996,Final partial frame (1124 samples < 2048) was recorded only and not analyzed.
E02after_20160401_tanto-tanto_01_44100_mono.wav,44100,1,2,89811,43,88064,1747,88064,89811,Final partial frame (1747 samples < 2048) was recorded only and not analyzed.
E02before_20141001_tanto-tanto_01_44100_mono.wav,44100,1,2,92023,44,90112,1911,90112,92023,Final partial frame (1911 samples < 2048) was recorded only and not analyzed.
E03after_tanto-tanto_20240223_caro-mio-ben_02_mono.wav,44100,1,2,97772,47,96256,1516,96256,97772,Final partial frame (1516 samples < 2048) was recorded only and not analyzed.
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,44100,1,2,91819,44,90112,1707,90112,91819,Final partial frame (1707 samples < 2048) was recorded only and not analyzed.
E04after_20240223_tanto-tanto_02_mono.wav,44100,1,2,114514,55,112640,1874,112640,114514,Final partial frame (1874 samples < 2048) was recorded only and not analyzed.
E04before_20220607_tanto-tanto_02_mono.wav,44100,1,2,115518,56,114688,830,114688,115518,Final partial frame (830 samples < 2048) was recorded only and not analyzed.
E05after_tanto-tanto240206_0629caro-2_mono.wav,44100,1,2,81223,39,79872,1351,79872,81223,Final partial frame (1351 samples < 2048) was recorded only and not analyzed.
E05before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,44100,1,2,96674,47,96256,418,96256,96674,Final partial frame (418 samples < 2048) was recorded only and not analyzed.
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,44100,1,2,110375,53,108544,1831,108544,110375,Final partial frame (1831 samples < 2048) was recorded only and not analyzed.
E06before_tanto-tanto_20220607_caro-mio-ben_02_mono.wav,44100,1,2,97479,47,96256,1223,96256,97479,Final partial frame (1223 samples < 2048) was recorded only and not analyzed.
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,44100,1,2,88541,43,88064,477,88064,88541,Final partial frame (477 samples < 2048) was recorded only and not analyzed.
E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,44100,1,2,76817,37,75776,1041,75776,76817,Final partial frame (1041 samples < 2048) was recorded only and not analyzed.
M2025_tanto_tanto_mono.wav,44100,1,2,125891,61,124928,963,124928,125891,Final partial frame (963 samples < 2048) was recorded only and not analyzed.
V01after_20190408tanto_tanto_02_mono.wav,44100,1,2,89893,43,88064,1829,88064,89893,Final partial frame (1829 samples < 2048) was recorded only and not analyzed.
V01before_20170508_tanto_tanto_02_mono.wav,44100,1,2,96227,46,94208,2019,94208,96227,Final partial frame (2019 samples < 2048) was recorded only and not analyzed.
V02after_20240524_tanto_tanto_02_mono.wav,44100,1,2,107959,52,106496,1463,106496,107959,Final partial frame (1463 samples < 2048) was recorded only and not analyzed.
V02before_20220531_tanto_tanto_02_mono.wav,44100,1,2,137621,67,137216,405,137216,137621,Final partial frame (405 samples < 2048) was recorded only and not analyzed.
V03after_20190407_tanto_tanto_02_mono.wav,44100,1,2,104143,50,102400,1743,102400,104143,Final partial frame (1743 samples < 2048) was recorded only and not analyzed.
V03before_20170508_tanto_tanto_02_mono.wav,44100,1,2,126838,61,124928,1910,124928,126838,Final partial frame (1910 samples < 2048) was recorded only and not analyzed.
V04after_20200706_tanto_tanto_02_mono.wav,44100,1,2,155763,76,155648,115,155648,155763,Final partial frame (115 samples < 2048) was recorded only and not analyzed.
V04before_20180730_tanto_tanto_02_mono.wav,44100,1,2,103537,50,102400,1137,102400,103537,Final partial frame (1137 samples < 2048) was recorded only and not analyzed.
V05after_20240502_tanto_tanto_02_mono.wav,44100,1,2,96822,47,96256,566,96256,96822,Final partial frame (566 samples < 2048) was recorded only and not analyzed.
V05before_20220420_tanto_tanto_02_mono.wav,44100,1,2,97429,47,96256,1173,96256,97429,Final partial frame (1173 samples < 2048) was recorded only and not analyzed.
V06after_20240618_tanto_tanto_02_mono.wav,44100,1,2,102338,49,100352,1986,100352,102338,Final partial frame (1986 samples < 2048) was recorded only and not analyzed.
V06before_20220530_tanto_tanto_02_mono.wav,44100,1,2,156039,76,155648,391,155648,156039,Final partial frame (391 samples < 2048) was recorded only and not analyzed.
V07after_20200629_tnto_tanto_02_mono.wav,44100,1,2,109903,53,108544,1359,108544,109903,Final partial frame (1359 samples < 2048) was recorded only and not analyzed.
V07before_20180730_tanto_tanto_02_mono.wav,44100,1,2,108751,53,108544,207,108544,108751,Final partial frame (207 samples < 2048) was recorded only and not analyzed.
V08after_20240422_tanto_tanto_02_mono.wav,44100,1,2,99790,48,98304,1486,98304,99790,Final partial frame (1486 samples < 2048) was recorded only and not analyzed.
V08before_20220420_tanto_tanto_01_mono.wav,44100,1,2,95652,46,94208,1444,94208,95652,Final partial frame (1444 samples < 2048) was recorded only and not analyzed.
V09after_20190508_tanto_tanto_02_mono.wav,44100,1,2,140723,68,139264,1459,139264,140723,Final partial frame (1459 samples < 2048) was recorded only and not analyzed.
V09before_20170526_tanto_tanto_02_mono.wav,44100,1,2,128682,62,126976,1706,126976,128682,Final partial frame (1706 samples < 2048) was recorded only and not analyzed.
V10after_20240501_tanto_tanto_02_mono.wav,44100,1,2,95747,46,94208,1539,94208,95747,Final partial frame (1539 samples < 2048) was recorded only and not analyzed.
V10before_20220420_tanto_tanto_02_mono.wav,44100,1,2,92417,45,92160,257,92160,92417,Final partial frame (257 samples < 2048) was recorded only and not analyzed.
V11after_20240502_tanto_tanto_02_mono.wav,44100,1,2,106868,52,106496,372,106496,106868,Final partial frame (372 samples < 2048) was recorded only and not analyzed.
V11before_20220420_tanto_tanto_02_mono.wav,44100,1,2,108063,52,106496,1567,106496,108063,Final partial frame (1567 samples < 2048) was recorded only and not analyzed.
V12after_20190408_tanto_tanto_02_mono.wav,44100,1,2,81380,39,79872,1508,79872,81380,Final partial frame (1508 samples < 2048) was recorded only and not analyzed.
V12before_20170508_tanto_tanto_02_mono.wav,44100,1,2,92689,45,92160,529,92160,92689,Final partial frame (529 samples < 2048) was recorded only and not analyzed.
V13after_20190409_tanto_tanto_02_mono.wav,44100,1,2,90728,44,90112,616,90112,90728,Final partial frame (616 samples < 2048) was recorded only and not analyzed.
V13before_20170508_tanto_tanto_02_mono.wav,44100,1,2,87006,42,86016,990,86016,87006,Final partial frame (990 samples < 2048) was recorded only and not analyzed.
